Country,Name,Source,Location,Capacity,Status,Start,Owner,Capital,HQ,Link,Latitude,Longitude
HONDURAS,Cerro de Hula I-II,Wind,Santa Ana (Francisco Morazán),126,Operational,2011,Corporación Multi Inversiones,Private,Guatemala (Guatemala),https://www.cmi.co/es/item/708-cerro-de-hula-parque-eolico-honduras,13.9286826,-87.2455861
HONDURAS,Nacaome-Valle,Solar,Nacaome,145,Operational,2015,EPC Solar Power. S.A. de C.V. (Grupo Larach)/Compañía Hondureña de Energía Solar,Private,San Pedro Sula (Honduras),http://www.iresa.hn/cohessa/,13.5219961,-87.5603273
JAMAICA,Content,Solar,Clarendon,20,Operational,2016,Content Solar Limited/WRB Enterprises Inc,Private,Tampa (US),https://wrbenterprises.com/energy/jamaica-28mw-content-solar-project/,17.9435021,-77.3118387
JAMAICA,Malvern,Wind,Saint Elizabeth,36.3,Operational,2016,BMR Energy (Virgin Group),Private,New York (US),https://bmrenergy.com/projects/jamaica-wind/,17.9431191,-77.7012574
JAMAICA,Paradise Park,Solar,Westmoreland,37,Operational,2019,Neoen/MPC Capital AG/Rekamniar Frontier Ventures,Private,Kingston (Jamaica),https://www.rekamniar.com/news/2019/10/4/energization-of-the-paradise-park-solar-farm-in-jamaica-and-commencement-of-its-operations,18.2268086,-78.1045124
JAMAICA,Wigton I-II-III,Wind,Manchester,62,Operational,2004-2010-2016,Wigton Windfarm Ltd. (Petroleum Corporation of Jamaica),State,Kingston (Jamaica),https://www.wwfja.com/,17.9163041,-77.5442321
Mexico,Tres Mesas III,Wind,Llera de Canales (Tamaulipas),50,Operational,2019,Engie,Private,Courbevoie (France),https://www.engiemexico.com/nuestro-grupo-mexico,23.390195,-98.992126
Mexico,Ingenio,Wind,Santo Domingo Ingenio/La Venta (Oaxaca),50,Operational,2016,Zuma Energía (State Power Investment Corporation),Private,Mexico City (Mexico),https://www.zumaenergia.com/ingenio,16.5588733,-94.8044382
Mexico,Fuerza Eólica del Istmo,Wind,El Espinal (Oaxaca),50,Operational,2010,Industrias Peñoles (Grupo BAL),Private,Mexico City (Mexico),https://penoles.com.mx/wPortal/faces/oracle/webcenter/portalapp/pagehierarchy/Page82.jspx?_afrLoop=2110758362438811&_afrWindowMode=0&_afrWindowId=null#%40%3F_afrWindowId%3Dnull%26_afrLoop%3D2110758362438811%26_afrWindowMode%3D0%26_adf.ctrl-state%3D2cgggq4ne_46,16.5958861,-95.016191
Mexico,Coromuel,Wind,La Paz (Baja California Sur),50,Under construction,Undetermined,Eurus Energy America Corporation,Private,San Diego (US),https://www.eolicacoromuel.com/espanol,24.0781875,-110.6026331
Mexico,Parras,Wind,Parras (Coahuila),50.4,Under construction,Undetermined,Minera Autlán/BAS Corporation,Private,San Pedro Garza García (Mexico),https://apps1.semarnat.gob.mx:445/dgiraDocs/documentos/coah/estudios/2016/05CO2016E0021.pdf,25.5136011,-102.0313922
